자치구,평균전세가,평균월세,거래량,공원수,마트수,정비사업수,병원수,범죄건수,만족도
강남구,64612.471031658744,82.71022352324066,118198,7,4.0,24,3659,31705,93.1
강동구,35613.97427816547,29.6420506380105,84403,7,2.0,13,1266,11267,94.4
강북구,23777.257571027163,30.26200437090228,16015,3,1.0,9,645,8620,94.2
강서구,30120.401356566483,23.846541665042427,76959,10,0.0,6,1273,15073,92.6
관악구,29186.135395127214,33.885102939854356,33369,2,2.0,10,964,16539,93.5
광진구,48963.93026749572,45.96106497517005,23963,2,0.0,6,798,9803,94.1
구로구,24316.183219050457,25.44212566147425,53668,4,0.0,16,820,11726,93.4
금천구,24104.396864773567,31.074580386361237,18946,4,2.0,4,519,8965,94.0
노원구,21931.981514139952,24.36665197035544,95262,2,0.0,9,1003,10005,94.2
도봉구,22178.150219049163,23.635502190491643,30815,6,0.0,7,510,6356,93.4
동대문구,32424.653934999886,37.221942684628225,43723,4,1.0,26,894,10817,94.6
동작구,46340.8313237077,36.197442962636394,45365,7,0.0,15,820,9014,93.6
마포구,41615.94139295543,51.55605855819179,61409,5,3.0,19,1024,13488,92.1
서대문구,36841.13018268467,37.674291765951814,37770,4,0.0,22,610,7453,94.2
서초구,71005.38885727715,82.36576284604537,80842,6,1.0,28,1893,17238,93.6
성동구,49903.211660550995,67.51874502494806,51507,5,5.0,15,649,8798,93.8
성북구,34105.45912734502,32.64546012140183,47281,3,0.0,24,766,9158,93.9
송파구,51434.263145649136,50.584988366682175,107450,7,0.0,25,1711,18321,93.6
양천구,42644.428066276014,28.723513167643294,59388,5,0.0,24,896,9869,94.3
영등포구,39910.53453906936,35.85330992098332,56950,5,1.0,42,1141,15467,93.7
용산구,51483.443866654285,91.00990497415421,32307,2,1.0,25,447,10736,92.1
은평구,30588.646433548976,25.99902232022133,48073,7,0.0,18,951,10708,94.2
종로구,40569.635081574335,63.03180016591391,10849,12,1.0,23,669,10015,93.9
중구,35952.01676092545,63.03485861182519,19450,4,1.0,35,805,9919,93.6
중랑구,24764.23821770335,23.99961124401914,33440,5,0.0,11,765,10744,93.9
